Indice_Temporal,C4_Fundo_Real,C4_Fundo_Pred_MWPLS
2182,0.17833825,0.1922446508431287
2183,0.17260291,0.16950284093448886
2184,0.16807668,0.16283740648540812
2185,0.16931193,0.17137048270138686
2186,0.17484273,0.17067006508312987
2187,0.18824297,0.16152422261628302
2188,0.20740244,0.182443268690613
2189,0.22961707,0.2061234914961258
2190,0.25673292,0.24659806260822464
2191,0.2867443,0.2928267264538149
2192,0.32602801,0.30893260983838094
2193,0.35948264,0.32424954519473015
2194,0.39645093,0.3613544640789635
2195,0.42991579,0.3945975485703207
2196,0.45770041,0.42212428298205196
2197,0.48141222,0.4519438098986563
2198,0.49681368,0.4823264857688385
2199,0.51479749,0.48722126282016154
2200,0.52822483,0.4855058969691828
2201,0.53159503,0.49214537989620577
2202,0.5360008,0.4893087423799287
2203,0.53367462,0.5021508646619068
2204,0.53714965,0.4975478421370237
2205,0.53602694,0.49199573661557466
2206,0.53472631,0.5058976640271474
2207,0.53352746,0.5040876145506368
2208,0.53819552,0.5118274736148304
2209,0.53831107,0.515004232670773
2210,0.54830784,0.515566469813298
2211,0.55949215,0.5269051009117656
2212,0.56939744,0.5451121047601074
2213,0.58155732,0.5587590341905054
2214,0.59178767,0.5814829481120642
2215,0.59521497,0.5863334260178514
2216,0.59734741,0.5890223665724652
2217,0.5961303,0.5921786153995917
2218,0.58078914,0.5948773261369705
2219,0.57059288,0.5899267051503714
2220,0.54594245,0.5754549977253869
2221,0.51907933,0.5569873348185856
2222,0.49787332,0.5376922680939749
2223,0.46545739,0.523772269631537
2224,0.44434961,0.49408941790719274
2225,0.41278079,0.4697332331084506
2226,0.38617918,0.4441463525982035
2227,0.35513709,0.4108740080529592
2228,0.32913831,0.3926800615495818
2229,0.30900282,0.36371720752089653
2230,0.27865664,0.31813338398591084
2231,0.25751192,0.2745786936582625
2232,0.23185689,0.2601016636071952
2233,0.20825474,0.23277357987491268
2234,0.19377888,0.2002396673016502
2235,0.1791928,0.17892690095519337
2236,0.1648539,0.15636358903352376
2237,0.15588213,0.14552773189737647
2238,0.1512042,0.1292883672158297
2239,0.14572534,0.1057178550650143
2240,0.14126996,0.11201164512643941
2241,0.13892045,0.12931166451174692
2242,0.13583403,0.14169203510372358
2243,0.13233567,0.1413048163404069
2244,0.12331958,0.1362306689309527
2245,0.12330651,0.13760630693127404
2246,0.11999452,0.11886834703436283
2247,0.11648024,0.11144434920760982
2248,0.11088696,0.0938040443595643
2249,0.10546356,0.08214443842916347
2250,0.099788451,0.07801399174669738
2251,0.089629742,0.08004547012676433
2252,0.088289363,0.0784297481910452
2253,0.08639615,0.08139291564202122
2254,0.079680104,0.07583952138867994
2255,0.077353923,0.07400954290081424
2256,0.075069787,0.07728710081593071
2257,0.072858964,0.0751250669402947
2258,0.06636337,0.07724533317300097
2259,0.063858782,0.07517107645342308
2260,0.059138239,0.07436345265913874
2261,0.058214919,0.07034275231803216
2262,0.05723423,0.06749257501241557
2263,0.053746663,0.06868342188998433
2264,0.050447731,0.07104625018916533
2265,0.045048911,0.06963406805257832
2266,0.040210045,0.06524311708670588
2267,0.037996363,0.052491256812747245
2268,0.034740683,0.036174904514258366
2269,0.030241657,0.03533031908439088
2270,0.025642144,0.032826216792887275
2271,0.02005113,0.029760971724635654
2272,0.016505601,0.010485147610790557
2273,0.012231093,0.016994157000640053
2274,0.0078253283,0.03030731729284164
2275,0.0054832295,0.016183906584165075
2276,0.0055673284,0.004824718622297164
2277,0.0012325854,0.005503419796824116
2278,0.001195654,0.004281959883104425
2279,0.0,0.008998829981914647
2280,0.0078663257,0.019220822832317908
2281,0.0099338892,0.03516412090277721
2282,0.014664659,0.04386331291417839
2283,0.013437365,0.04496776576584183
2284,0.015755591,0.05964246270257617
2285,0.023698923,0.06748775146897118
2286,0.028067756,0.07543485313278486
2287,0.033554226,0.07282190896217472
2288,0.032507611,0.07613978847672209
2289,0.037152019,0.08195801174814032
2290,0.038164543,0.09268612260614179
2291,0.04937498,0.08845479940724671
2292,0.05175116,0.08866771430643877
2293,0.051693207,0.09035937530995278
2294,0.057300138,0.08889379997245139
2295,0.059319487,0.09232910154708268
2296,0.060415533,0.09709027668940176
2297,0.059274601,0.09215737319936732
2298,0.059345623,0.09221172426737906
2299,0.059358691,0.08904791690640018
2300,0.057260934,0.08082768362009873
2301,0.054908617,0.06402930291479864
2302,0.047038572,0.06094804878807142
2303,0.05270289,0.0550013827463135
2304,0.043945266,0.060421405636465475
2305,0.045876618,0.05692902874950728
2306,0.04372373,0.04642457835613378
2307,0.044895912,0.05129524828482285
2308,0.043847042,0.04704767761173645
2309,0.047103912,0.04921683007664246
2310,0.049251686,0.051638194630672596
2311,0.053544943,0.05218319142376071
2312,0.052566528,0.055508233417290886
2313,0.05380689,0.05721408851306353
2314,0.050492048,0.06352898152974928
2315,0.056096139,0.06185960984673605
2316,0.031193955,0.053807598761181685
2317,0.060365533,0.055350361522731595
2318,0.063903668,0.0547369564650258
2319,0.068358873,0.0583443032550629
2320,0.073029416,0.040876911782089576
2321,0.081759697,0.0622537400898352
2322,0.088391635,0.06150601694982738
2323,0.099880496,0.06509040711866043
2324,0.11078469,0.07073634391408062
2325,0.12320935,0.0869350331260336
2326,0.13683576,0.10576096588502396
2327,0.15573554,0.12735921109276266
2328,0.16691246,0.15291169454404524
2329,0.17466944,0.18087777752502257
2330,0.17830416,0.1901522911280381
2331,0.17154891,0.20645423973645344
2332,0.15341732,0.18786487267383534
2333,0.14795472,0.18396549278192897
2334,0.12301049,0.17779181772702837
2335,0.10084018,0.16204944175283784
2336,0.082682431,0.1368272158266835
2337,0.064813352,0.12290496068373219
2338,0.047869848,0.09738997710811426
2339,0.036608825,0.07489621620533349
2340,0.024073927,0.05714332653342763
2341,0.016151619,0.04395834611113436
2342,0.011630514,0.036241561322198135
2343,0.0074292923,0.02999151606268724
2344,0.011766876,0.02277705664580104
2345,0.011843722,0.018271055522955937
2346,0.011877111,0.017746395871501675
2347,0.018501095,0.011506787645238437
2348,0.028748519,0.002788611704426569
2349,0.034353666,0.012973178818606157
2350,0.04779144,0.02653484246466209
2351,0.060137695,0.049737655761197375
2352,0.06566961,0.05864881277570594
2353,0.074861267,0.062246691494879935
2354,0.083143808,0.0735097166987479
2355,0.090270076,0.08796701925185402
2356,0.097057144,0.10635371137470978
2357,0.10088222,0.11940884210536457
2358,0.10458058,0.11696439280537121
2359,0.10808479,0.10592152057721732
2360,0.11103177,0.10801412615378769
2361,0.1140643,0.11500392144749702
2362,0.1147484,0.12959196465833994
2363,0.11229323,0.14753597003476812
2364,0.11092105,0.1525252891699735
2365,0.10678177,0.14857433484957994
2366,0.097958305,0.15101745774011077
2367,0.092778659,0.1424538579101963
2368,0.093204222,0.128118599483831
2369,0.10357433,0.11735001972170403
2370,0.12283547,0.12075282787710806
2371,0.1471331,0.12659608268809822
2372,0.17203926,0.13797767765529154
2373,0.19526359,0.1720247760094672
2374,0.22040212,0.20168162457780953
2375,0.24181104,0.240293182484073
2376,0.263399,0.27117571317798894
2377,0.28027598,0.2833579082563612
2378,0.29036539,0.2791848720956316
2379,0.29540812,0.2755651834597542
2380,0.29525358,0.27157044908474626
2381,0.28758466,0.2625455840292066
2382,0.27710147,0.2437718636095208
2383,0.26752349,0.22340326371346003
2384,0.25670962,0.22766180070426567
2385,0.24380029,0.22383182612954658
2386,0.22888125,0.21820381151008783
2387,0.21262355,0.2166726354219679
2388,0.20076424,0.20883263693131876
2389,0.18897595,0.19929845911719696
2390,0.17899167,0.19501821326224253
2391,0.16974206,0.17880741353230467
2392,0.15902309,0.16996886042393333
2393,0.14992179,0.15576566069949688
